dataset,config,compressed_bytes,compression_ratio_pct,bits_per_base,encode_time_s,decode_time_s,lossless,error,sequence_ordering,use_approximate,use_reverse_complement,use_token_entropy
phiX174.fasta,sequence_ordering+use_approximate+use_reverse_complement,1814,33.67991088005942,2.6943928704047533,0.21364631596952677,0.21351326908916235,True,,True,True,True,False
phiX174.fasta,sequence_ordering+use_approximate+use_reverse_complement+use_token_entropy,1814,33.67991088005942,2.6943928704047533,0.21368028968572617,0.21522789634764194,True,,True,True,True,True
repetitive_codon_test.fasta,compact_baseline,8603,37.12830693539338,2.9702645548314703,0.11607129219919443,0.11527282558381557,True,,False,False,False,False
repetitive_codon_test.fasta,use_token_entropy,2263,9.766518492943765,0.7813214794355012,0.11581417685374618,0.11289536627009511,True,,False,False,False,True
repetitive_codon_test.fasta,use_reverse_complement,16251,70.13508264641146,5.610806611712917,5.169857547618449,0.07407858036458492,True,,False,False,True,False
repetitive_codon_test.fasta,use_reverse_complement+use_token_entropy,16251,70.13508264641146,5.610806611712917,5.1658122623339295,0.0747405020520091,True,,False,False,True,True
repetitive_codon_test.fasta,use_approximate,23770,102.58512796167622,8.206810236934098,0.8406051909551024,0.0216652718372643,True,,False,True,False,False
repetitive_codon_test.fasta,use_approximate+use_token_entropy,23770,102.58512796167622,8.206810236934098,0.8408575300127268,0.021492603700608015,True,,False,True,False,True
repetitive_codon_test.fasta,use_approximate+use_reverse_complement,23770,102.58512796167622,8.206810236934098,3.367483197245747,0.02189317485317588,True,,False,True,True,False
repetitive_codon_test.fasta,use_approximate+use_reverse_complement+use_token_entropy,23770,102.58512796167622,8.206810236934098,3.3661677432246506,0.02144860988482833,True,,False,True,True,True
repetitive_codon_test.fasta,sequence_ordering,8570,36.985887531828574,2.958871002546286,0.09968422679230571,0.09576973179355264,True,,True,False,False,False
repetitive_codon_test.fasta,sequence_ordering+use_token_entropy,2503,10.802295973415045,0.8641836778732036,0.09992027096450329,0.09589624172076583,True,,True,False,False,True
repetitive_codon_test.fasta,sequence_ordering+use_reverse_complement,19162,82.69820033662768,6.6158560269302145,2.439391986001283,0.034099701792001724,True,,True,False,True,False
repetitive_codon_test.fasta,sequence_ordering+use_reverse_complement+use_token_entropy,19162,82.69820033662768,6.6158560269302145,2.4400030220858753,0.031601808965206146,True,,True,False,True,True
repetitive_codon_test.fasta,sequence_ordering+use_approximate,23039,99.4303223857408,7.954425790859264,0.8075094250962138,0.021774257067590952,True,,True,True,False,False
repetitive_codon_test.fasta,sequence_ordering+use_approximate+use_token_entropy,23039,99.4303223857408,7.954425790859264,0.8068359191529453,0.021712610963732004,True,,True,True,False,True
repetitive_codon_test.fasta,sequence_ordering+use_approximate+use_reverse_complement,23039,99.4303223857408,7.954425790859264,3.284172696992755,0.02206604741513729,True,,True,True,True,False
repetitive_codon_test.fasta,sequence_ordering+use_approximate+use_reverse_complement+use_token_entropy,23039,99.4303223857408,7.954425790859264,3.281405733898282,0.02186497999355197,True,,True,True,True,True
small_test.fasta,compact_baseline,892,35.909822866344605,2.8727858293075683,0.008231644984334707,0.00813151802867651,True,,False,False,False,False
small_test.fasta,use_token_entropy,464,18.679549114331724,1.4943639291465378,0.008229869417846203,0.008072879631072283,True,,False,False,False,True
small_test.fasta,use_reverse_complement,916,36.87600644122383,2.9500805152979064,0.010489209089428186,0.008107567206025124,True,,False,False,True,False
small_test.fasta,use_reverse_complement+use_token_entropy,916,36.87600644122383,2.9500805152979064,0.010442745871841908,0.008078143000602722,True,,False,False,True,True
small_test.fasta,use_approximate,1970,79.30756843800322,6.344605475040257,0.03400881914421916,0.003382090013474226,True,,False,True,False,False
small_test.fasta,use_approximate+use_token_entropy,1970,79.30756843800322,6.344605475040257,0.034085921943187714,0.0033976570703089237,True,,False,True,False,True
small_test.fasta,use_approximate+use_reverse_complement,1970,79.30756843800322,6.344605475040257,0.07324224198237062,0.0033689220435917377,True,,False,True,True,False
small_test.fasta,use_approximate+use_reverse_complement+use_token_entropy,1970,79.30756843800322,6.344605475040257,0.07340206298977137,0.00345432898029685,True,,False,True,True,True
small_test.fasta,sequence_ordering,907,36.513687600644126,2.92109500805153,0.007393578067421913,0.0072324927896261215,True,,True,False,False,False
small_test.fasta,sequence_ordering+use_token_entropy,476,19.162640901771336,1.5330112721417068,0.0074236742220819,0.007207357324659824,True,,True,False,False,True
small_test.fasta,sequence_ordering+use_reverse_complement,947,38.12399355877617,3.0499194847020936,0.011980433017015457,0.007231420837342739,True,,True,False,True,False
small_test.fasta,sequence_ordering+use_reverse_complement+use_token_entropy,947,38.12399355877617,3.0499194847020936,0.011914177797734737,0.00720002967864275,True,,True,False,True,True
small_test.fasta,sequence_ordering+use_approximate,2575,103.6634460547504,8.293075684380032,0.021853397134691477,0.0028193150646984577,True,,True,True,False,False
small_test.fasta,sequence_ordering+use_approximate+use_token_entropy,2575,103.6634460547504,8.293075684380032,0.02172941481694579,0.002818658947944641,True,,True,True,False,True
small_test.fasta,sequence_ordering+use_approximate+use_reverse_complement,2575,103.6634460547504,8.293075684380032,0.05512774735689163,0.002814612351357937,True,,True,True,True,False
small_test.fasta,sequence_ordering+use_approximate+use_reverse_complement+use_token_entropy,2575,103.6634460547504,8.293075684380032,0.05505638895556331,0.0028122281655669212,True,,True,True,True,True
